AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB,Mean_Canopy_Height(m),B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,grazing_value
3,S3P10,S.ciliata,High,149.24,436.374269,0.132008538,23129.44141,22560.61523,21435.56836,23673.18164,24490.6875,0.066728488,0.178275779,0.066728242,0.17686902,1930.072021,1021.24
3,S3P11,S.pappophoroides,High,88.98,260.1754386,0.071152821,26873.36914,25346.29102,21992.31055,27215.06641,28836.60547,0.145271033,-1.243007421,0.145270482,0.360615969,3490.313232,592.34
3,S3P12,E.pallens,Low,135.94,397.4853801,0.024889154,22750.16602,20277.13086,16724.62891,21564.73047,24456.51953,0.187523142,-0.856662631,0.187522337,0.437950194,4179.386719,135.94
3,S3P13,S.ciliata,High,188.46,551.0526316,0.146945342,22364.02148,20294.85352,18298.50586,19847.20898,20664.46484,0.070175655,-0.641226351,0.070175283,0.182963178,369.6118774,1229.28
3,S3P14,S.uniplumis,Average,229.93,672.3099415,0.255726308,16959.60742,17593.26563,13350.3584,25391.1543,31080.0957,0.417770624,-0.443746686,0.417768985,0.865239263,13486.8291,1149.65
3,S3P15,S.uniplumis,Average,189.88,555.2046784,0.221044704,17511.33594,15948.92578,13258.71777,17126.58789,18872.31836,0.208878458,0.079208873,0.208877102,0.469982713,2923.393555,949.4
3,S3P16,S.uniplumis,Average,137.53,402.1345029,0.067116022,22888.86719,22967.14453,19698.09766,28696.75781,31482.49805,0.247156084,-2.874533892,0.24715519,0.574160397,8515.353516,687.65
3,S3P17,S.ciliata,High,109.83,321.1403509,0.10019774,26920.28711,24357.08008,21647.36328,22900.84961,23624.17188,0.052277561,0.080172151,0.052277334,0.110971279,-732.9073486,667.47
3,S3P18,S.uniplumis,Average,7.94,23.21637427,0.022376878,43228.69531,41853.51953,40305.07813,41452.40625,41437.03516,0.015993934,-0.208277166,0.015993897,0.041647628,-416.4829407,24.02
3,S3P19,S.pappophoroides,High,16.34,47.77777778,0.016533133,41249.20703,36876.03906,33990.04688,34390.86328,32369.46094,-0.020466471,0.08278922,-0.020466432,-0.077387825,-4506.577148,114.38
3,S3P20,S.pappophoroides,High,131.64,384.9122807,0.179439649,28614.81641,26350.14258,22977.79492,26208.19922,26396.26367,0.079220392,0.870703399,0.079220071,0.210790694,46.12041092,921.48
3,S3P21,S.uniplumis,Average,192.53,562.9532164,0.087391146,30934.74023,26155.57422,23307.30273,23293.24023,24056.94727,0.019837832,-0.062223207,0.019837741,0.038859759,-2098.628662,962.65
3,S3P22,S.pappophoroides,High,68.82,201.2280702,0.051079772,28949.45313,27237.96484,24193.33008,27645.04688,29276.07617,0.10482353,-1.875052571,0.104823165,0.261883438,2038.109009,465.56
3,S3P23,S.uniplumis,Average,78.97,230.9064327,0.016503988,31750.73633,30872.80273,26575.53516,32952.79688,35569.00781,0.162962601,0.163245052,0.162962094,0.392588943,4696.20459,394.85
3,S3P24,S.ciliata,High,119.65,349.8538012,0.098508134,37523.89844,36550.34766,34340.68359,33304.39063,35350.46094,0.017704349,0.280040354,0.017704282,0.034903713,-1199.887817,837.55
3,S3P25,S.ciliata,High,88.67,259.2690058,0.023378871,27690.72656,24940.88086,22432.81641,24455.79883,26559.40625,0.090430275,-0.989995658,0.090429932,0.21822083,1618.524536,501.05
3,S3P26,S.ciliata,High,98.88,289.122807,0.047065649,34623.76172,31719.89648,29662.20313,30295.73242,30147.52344,0.011823738,0.563257694,0.01182369,0.022758627,-1572.372314,659.28
3,S3P27,S.uniplumis,Average,33.76,98.71345029,0.009836124,34664.70703,34023.21875,32505.20898,34641.25391,35207.49609,0.047254719,-0.192124695,0.047254574,0.127504349,1184.280396,164.36
3,S3P28,S.pappophoroides,High,100.28,293.2163743,0.113346972,22023.48242,21445.22266,17762.16992,21464.88281,24352.91602,0.158958972,-1.300595999,0.158958286,0.377545953,2907.693604,701.96
3,S3P29,S.kalihariensis,Low,27.54,80.52631579,0.096569069,23887.18945,21089.78125,18001.47852,20994.62695,23052.46094,0.124999009,-3.127613783,0.124998443,0.316489369,1962.678101,94.56
3,S3P30,S.pappophoroides,High,170.57,498.7426901,0.011109891,31632.51367,28187.68945,25371.67969,25848.98242,26769.54102,0.030767344,-0.573877275,0.030767221,0.085267417,-1418.146729,1113.93
